file,group,format,channel,cutoff_Hz,peak_error_pct,noise_reduction_x
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,500,-2.8695851793858766,1.922872298564396
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,600,-2.7841625063507833,1.9028254516995635
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,700,-2.7678851233274053,1.8791782950962619
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,800,-2.742593046275178,1.8616799204742045
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,900,-2.7041726011515768,1.8801134623326652
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,1000,-2.6936395151716996,1.8815066970318868
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,5,-15.653083839713657,0.2579883084458354
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,10,-2.1532017389032645,4.606273297105692
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,15,-2.1663337794543143,16.741055331474342
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,20,-2.0108299016286866,15.093019764588348
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,25,-1.7151234998803817,13.814169139498638
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,30,-1.5646458685566782,13.345786206951354
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,40,-1.3216497428321419,13.189230065267942
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,50,-1.4334574335613586,8.35711586048881
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,75,-1.2455527217439206,7.902821715392803
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,100,-1.248876626312096,7.737830786763167
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,150,-1.2140928280862986,4.794172428626221
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,200,-1.2068448093427666,4.774142171871515
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,300,-1.1780344507879883,3.052744065591987
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,400,-1.1853690186251702,2.888530732527142
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,500,-1.1887888045242452,2.8045713784228368
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,600,-1.1977365587604762,2.756258116208109
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,700,-1.1900616225376277,2.7186616941307866
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,800,-1.1995672601758185,2.6768844842165618
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,900,-1.198692681155826,2.629446957892137
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,1000,-1.201572425839397,2.5973793225585045
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,5,-15.849770135936861,0.20015843981348144
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,10,-4.365560315236707,4.635674811127834
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,15,-4.11729918356861,6.974883728768154
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,20,-3.654832452755148,6.502517215899151
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,25,-4.065719828440798,7.330911037798125
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,30,-3.866736832552611,6.95906498785308
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,40,-3.6078148194904056,6.3644758816714555
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,50,-3.562143187159791,2.2790498560414005
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,75,-3.7552531891849807,2.3027405919532047
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,100,-3.7083779011290807,2.3095803012185696
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,150,-3.7005936367364543,2.1681393565492
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,200,-3.7088317865142466,2.1845976116402706
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,300,-3.4465047575632197,1.8935495865962768
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,400,-3.3611659704807324,1.774333050892038
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,500,-3.322544134370891,1.7277498076060311
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,600,-3.2246942827412863,1.6888962619049073
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,700,-3.196718313157236,1.6727057247249961
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,800,-3.1786975013857215,1.6760124867072916
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,900,-3.1486453935332412,1.6915360242894577
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,1000,-3.144096438856185,1.6874168798104034
002_230℃_020_0.5mm.csv,0.5mm_230℃,nr500,V03,5,-6.903058951447343,0.5824213434932867
002_230℃_020_0.5mm.csv,0.5mm_230℃,nr500,V03,10,-2.736185434878973,6.709103071019033
002_230℃_020_0.5mm.csv,0.5mm_230℃,nr500,V03,15,-2.5628963207700135,10.811647273479101
002_230℃_020_0.5mm.csv,0.5mm_230℃,nr500,V03,20,-1.8669146160488614,13.544085987360942
002_230℃_020_0.5mm.csv,0.5mm_230℃,nr500,V03,25,-1.881413238343018,14.26195418355013
002_230℃_020_0.5mm.csv,0.5mm_230℃,nr500,V03,30,-1.774611503363211,14.920943003674857
