Time:2026/08/05 16:10:15
Observation Period:20.0s Sampling Interval:1ms
Elapsed Time,CH01,CH02,CH03,CH04,
Unit,[MPa],[MPa],[MPa],[MPa],
0.293,0.00,0.09,0.21,0.00,
0.294,0.00,0.10,0.18,0.00,
0.295,0.02,0.02,0.19,0.00,
0.296,0.00,0.01,0.09,0.00,
0.297,0.09,0.00,0.09,0.00,
0.298,0.04,0.00,0.07,0.00,
0.299,0.01,0.02,0.18,0.00,
0.300,0.00,0.05,0.12,0.00,
0.301,0.00,0.00,0.17,0.00,
0.302,0.00,0.07,0.19,0.00,
0.303,0.00,0.04,0.12,0.00,
0.304,0.04,0.00,0.12,0.00,
0.305,0.05,0.06,0.09,0.00,
0.306,0.04,0.08,0.15,0.00,
0.307,0.00,0.08,0.04,0.00,
0.308,0.00,0.00,0.14,0.00,
0.309,0.00,0.07,0.09,0.00,
0.310,0.00,0.06,0.20,0.00,
0.311,0.04,0.04,0.18,0.00,
0.312,0.03,0.11,0.14,0.00,
0.313,0.01,0.02,0.18,0.00,
0.314,0.03,0.16,0.12,0.00,
0.315,0.01,0.05,0.08,0.00,
0.316,0.04,0.00,0.11,0.00,
0.317,0.01,0.09,0.07,0.00,
0.318,0.07,0.03,0.00,0.00,
0.319,0.05,0.00,0.05,0.02,
0.320,0.00,0.03,0.10,0.00,
0.321,0.00,0.00,0.10,0.00,
0.322,0.00,0.00,0.10,0.00,
0.323,0.00,0.00,0.00,0.00,
0.324,0.05,0.01,0.04,0.04,
0.325,0.10,0.00,0.17,0.04,
0.326,0.06,0.00,0.06,0.00,
0.327,0.12,0.00,0.09,0.04,
0.328,0.01,0.00,0.09,0.00,
0.329,0.01,0.11,0.07,0.13,
0.330,0.00,0.03,0.09,0.03,
0.331,0.00,0.06,0.06,0.00,
0.332,0.00,0.04,0.03,0.00,
0.333,0.08,0.03,0.20,0.00,
0.334,0.02,0.00,0.22,0.00,
0.335,0.00,0.00,0.13,0.00,
0.336,0.03,0.05,0.06,0.00,
0.337,0.00,0.01,0.10,0.00,
0.338,0.10,0.14,0.19,0.00,
0.339,0.10,0.02,0.22,0.00,
0.340,0.00,0.00,0.00,0.00,
0.341,0.01,0.00,0.11,0.00,
0.342,0.00,0.00,0.00,0.00,
0.343,0.02,0.00,0.04,0.00,
0.344,0.00,0.07,0.12,0.00,
0.345,0.00,0.00,0.12,0.00,
0.346,0.00,0.01,0.17,0.00,
0.347,0.00,0.00,0.19,0.00,
0.348,0.00,0.00,0.08,0.00,
0.349,0.00,0.09,0.11,0.00,
0.350,0.00,0.00,0.09,0.00,
0.351,0.00,0.00,0.13,0.00,
0.352,0.01,0.09,0.13,0.00,
0.353,0.10,0.00,0.07,0.11,
0.354,0.00,0.00,0.20,0.00,
0.355,0.00,0.00,0.07,0.00,
0.356,0.00,0.00,0.16,0.00,
0.357,0.00,0.00,0.06,0.00,
0.358,0.02,0.00,0.09,0.00,
0.359,0.00,0.07,0.03,0.00,
0.360,0.03,0.00,0.06,0.00,
0.361,0.00,0.02,0.16,0.00,
0.362,0.05,0.08,0.05,0.05,
0.363,0.03,0.00,0.13,0.00,
0.364,0.00,0.00,0.00,0.00,
0.365,0.00,0.00,0.07,0.00,
0.366,0.00,0.00,0.09,0.00,
0.367,0.11,0.00,0.04,0.00,
0.368,0.01,0.02,0.17,0.00,
0.369,0.01,0.00,0.04,0.00,
0.370,0.00,0.03,0.05,0.00,
0.371,0.00,0.06,0.07,0.00,
0.372,0.00,0.00,0.00,0.00,
0.373,0.00,0.00,0.16,0.00,
0.374,0.00,0.03,0.14,0.01,
0.375,0.08,0.07,0.15,0.00,
0.376,0.00,0.07,0.00,0.00,
0.377,0.04,0.17,0.00,0.00,
0.378,0.00,0.12,0.17,0.00,
0.379,0.00,0.00,0.06,0.00,
0.380,0.00,0.04,0.06,0.00,
0.381,0.09,0.07,0.07,0.00,
0.382,0.00,0.05,0.01,0.00,
0.383,0.06,0.04,0.12,0.00,
0.384,0.03,0.09,0.08,0.00,
0.385,0.00,0.03,0.13,0.00,
0.386,0.00,0.09,0.05,0.00,
0.387,0.00,0.00,0.07,0.00,
0.388,0.00,0.01,0.00,0.00,
0.389,0.00,0.00,0.14,0.00,
0.390,0.00,0.00,0.07,0.02,
0.391,0.01,0.00,0.16,0.00,
0.392,0.00,0.00,0.09,0.00,
0.393,0.00,0.00,0.11,0.02,
0.394,0.00,0.00,0.11,0.00,
0.395,0.00,0.00,0.09,0.00,
0.396,0.00,0.00,0.15,0.00,
0.397,0.00,0.00,0.10,0.00,
0.398,0.00,0.00,0.21,0.00,
0.399,0.00,0.00,0.04,0.00,
