file,path,group,format,channel,zero_offset_applied_MPa,n_total,dt,duration_s,baseline_MPa,noise_sigma_MPa,noise_rms_MPa,peak_MPa,peak_minus_baseline_MPa,snr,event_start_s,event_end_s,event_width_s,analysis_start_s,analysis_end_s,analysis_points,rise_time_ms,required_bw_Hz,freq_resolution_Hz,nyquist_Hz,f90_Hz,f95_Hz,f99_Hz,f999_Hz,flags,zero_offset,zero_window_std
084_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\084_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.35582000462338326,1000000,4.9999999999999996e-06,5.0,0.03581998942419884,0.11860796421021222,0.08895595934987068,9.475820009391756,9.440000019967556,79.58993380273165,1.8765399999999999,2.35504,0.4785,1.7569149999999998,2.474665,143551,22.794999999999998,15.354244351831541,1.3932330669936122,100000.00000000001,6.966165334968061,8.359398401961673,550.3270614624768,78000.15325563737,multiple_events(21),-3.019806626980426e-17,0.15445299458199685
085_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\085_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.07174000109778716,1000000,4.9999999999999996e-06,5.0,0.028259996667038656,0.08895601458102464,0.059303995912894605,7.828260213478934,7.800000216811895,87.68378679675838,2.0062849999999997,2.256785,0.2505,1.9436599999999997,2.31941,75151,77.0,4.545454545454545,2.661308565421618,100000.00000000001,7.983925696264854,7.983925696264854,10.645234261686472,31.935702785059416,ok,5.3290705182007515e-18,0.04964043091986595
085_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\085_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.41984000061638654,1000000,4.9999999999999996e-06,5.0,0.03984001283533872,0.11860801944136619,0.059304009720683094,9.839839719282462,9.799999706447124,82.62510201758954,1.813035,2.481035,0.6679999999999999,1.646035,2.6480349999999997,200401,22.584999999999997,15.497011290679655,0.9979990119809783,100000.00000000001,6.985993083866848,7.983992095847826,1753.4842640505788,81997.59482238114,multiple_events(6),8.881784197001253e-19,0.1516969822477678
086_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\086_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.08102000126847997,1000000,4.9999999999999996e-06,5.0,0.038979999774601315,0.11860799872968346,0.059303995912894605,7.638980146551039,7.600000146776438,64.0766240740425,2.009795,2.2166949999999996,0.20689999999999997,1.9580699999999998,2.26842,62071,60.99999999999999,5.7377049180327875,3.222116608400058,100000.00000000001,6.444233216800116,9.666349825200175,12.888466433600232,32.22116608400058,ok,4.440892098500626e-18,0.048614397275472176
086_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\086_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.5005200048815459,1000000,4.9999999999999996e-06,5.0,0.04052000398747624,0.11860801944136619,0.08895601458102464,8.940519823683426,8.89999981969595,75.03708317206713,1.868445,2.5179449999999997,0.6495,1.7060699999999998,2.6803199999999996,194851,6.55,53.4351145038168,1.0264253198597904,100000.00000000001,6.158551919158742,8.211402558878323,5575.542337478381,79999.58942987207,multiple_events(6),8.881784197001253e-18,0.13958699796391896
087_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\087_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.07908000119263306,1000000,4.9999999999999996e-06,5.0,0.040919999850448224,0.08895598696544765,0.029651991052553055,7.660919889134821,7.619999889284372,85.66033776056173,2.0071999999999997,2.2377149999999997,0.23051499999999997,1.9495699999999998,2.2953449999999997,69156,59.464999999999996,5.885815185403178,2.8920122621319915,100000.00000000001,5.784024524263983,8.676036786395974,11.568049048527966,28.920122621319916,ok,7.105427357601002e-18,0.05118548225736565
087_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\087_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.5745600039768033,1000000,4.9999999999999996e-06,5.0,0.05455999324796723,0.11860796421021222,0.059304009720683094,9.634560185174923,9.580000191926956,80.7702944378006,1.83245,2.31195,0.4795,1.712575,2.431825,143851,22.63,15.466195315952277,1.390327491640656,100000.00000000001,6.9516374582032805,8.341964949843936,351.752855385086,74187.8749539454,multiple_events(30),1.7763568394002505e-17,0.1879702264413055
088_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\088_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.09254000095184893,1000000,4.9999999999999996e-06,5.0,0.027460000091232353,0.08895598696544765,0.029652004860341547,7.707459712945856,7.679999712854624,86.33482663553264,2.006275,2.2397799999999997,0.233505,1.9478999999999997,2.298155,70052,57.49999999999999,6.086956521739131,2.8550219836692747,100000.00000000001,5.7100439673385495,8.565065951007824,11.420087934677099,28.550219836692747,ok,-1.0380585280245214e-17,0.053366172516017635
088_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\088_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.6768800051440484,1000000,4.9999999999999996e-06,5.0,0.07688001855509352,0.11860807467252016,0.059304009720683094,9.476879957460334,9.399999938905239,79.2526138280119,1.875025,2.3945299999999996,0.519505,1.7451499999999998,2.524405,155852,27.429999999999996,12.759752096244988,1.283268742139979,100000.00000000001,6.416343710699896,8.982881194979853,554.3720966044709,74039.47334650824,multiple_events(17),-3.552713678800501e-17,0.18753310473862003
089_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\089_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.10356000101659447,1000000,4.9999999999999996e-06,5.0,0.056440006582997734,0.08895601458102464,0.029652004860341547,7.776439875005744,7.719999868422747,86.78446201511272,2.00481,2.24031,0.2355,1.9459349999999997,2.2991849999999996,70651,62.75499999999999,5.577244841048523,2.830816265870264,100000.00000000001,5.661632531740528,8.492448797610791,11.323265063481056,28.308162658702642,ok,0.0,0.04983298523140176
089_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\089_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.7306800021813251,1000000,4.9999999999999996e-06,5.0,0.050679965226445356,0.11860790897905826,0.059304009720683094,8.970680011718068,8.920000046491623,75.20577778726849,1.83106,2.3980599999999996,0.567,1.6893099999999999,2.5398099999999997,170101,6.494999999999999,53.88760585065435,1.1757720413166295,100000.00000000001,7.054632247899777,8.230404289216406,357.43470056025535,74274.6956220128,multiple_events(12),8.881784197001253e-18,0.14823878191758322
090_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\090_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.05018000123323873,1000000,4.9999999999999996e-06,5.0,0.04981999653158709,0.11860799182578921,0.059304002816788846,8.04982002260862,8.000000026077032,67.4490808159655,1.9952249999999998,2.1952249999999998,0.19999999999999998,1.9452249999999998,2.2452249999999996,60001,67.49999999999999,5.185185185185186,3.3332777787036885,100000.00000000001,6.666555557407377,9.999833336111065,13.333111114814754,29.999500008333197,ok,-7.105427357601002e-18,0.05270263378146485
090_210℃_200_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\090_210℃_200_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.827600000007078,1000000,4.9999999999999996e-06,5.0,0.0075999773573129925,0.11860801944136619,0.059304009720683094,9.947600004775449,9.940000027418137,83.80546335934704,1.7999749999999999,4.998975,3.199,1.000225,4.999994999999999,799955,17.75,19.71830985915493,0.25001406329106013,100000.00000000001,18.00101255695633,38000.13750773481,77024.08260464651,96349.91968298217,"multiple_events(7),event_at_edge",-4.618527782440651e-17,0.15762690123065295
091_210℃_240_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\091_210℃_240_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.04516000115545467,1000000,4.9999999999999996e-06,5.0,0.034840002644341436,0.08895600422518328,0.059304002816788846,7.574840242031496,7.540000239387155,84.76100410603419,1.9912899999999998,2.21229,0.22099999999999997,1.9360399999999998,2.26754,66301,61.99999999999999,5.645161290322581,3.0165457534577156,100000.00000000001,6.033091506915431,9.049637260373146,12.066183013830862,247.35675178353267,ok,8.881784197001253e-19,0.05057839870029796
091_210℃_240_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\091_210℃_240_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.16721999997273088,1000000,4.9999999999999996e-06,5.0,0.06722000220790506,0.11860799182578921,0.059304009720683094,8.907220128718764,8.840000126510859,74.53123512532784,1.87204,2.50454,0.6325,1.7139149999999999,2.6626649999999996,189751,15.45,22.653721682847898,1.0540128905776518,100000.00000000001,7.378090234043563,9.486116015198867,21800.148615817572,82000.09486116015,multiple_events(8),-1.1546319456101627e-17,0.14806036598874509
092_210℃_240_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\092_210℃_240_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.053380001336336136,1000000,4.9999999999999996e-06,5.0,0.046619996428489685,0.08895601458102464,0.059304002816788846,7.766620051115751,7.720000054687262,86.78446410900727,1.9902299999999997,2.2183149999999996,0.22808499999999998,1.9332099999999999,2.2753349999999997,68426,60.0,5.833333333333333,2.922865577412095,100000.00000000001,5.84573115482419,8.768596732236285,11.69146230964838,122.76035425130799,ok,0.0,0.05148762587648056
092_210℃_240_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\092_210℃_240_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V04,-0.173879999963101,1000000,4.9999999999999996e-06,5.0,0.03387999564176425,0.11860800563357769,0.08895598696544765,9.033879775849636,8.999999780207872,75.88020498390364,1.8760649999999999,4.999565,3.1235,1.0951899999999999,4.999994999999999,780962,17.914999999999996,19.536701088473347,0.25609440664206456,100000.00000000001,13999.912927901743,55999.65171160697,81999.89244034923,97999.9026841255,"multiple_events(6),event_at_edge",3.996802888650563e-18,0.1673587345059969
093_210℃_240_2.0mm.csv,C:/Users/0uh2j/Desktop/実験データ2026/01_本実験データ/202603-4 - 本実験圧力データ/202606・08-実験データ再々/202606・08-直接式樹脂圧力本実験データ再々\1.0～2.0mm\csv\2.0mm\210℃\093_210℃_240_2.0mm.csv,1.0～2.0mm_csv_2.0mm_210℃,nr500,V03,0.0754600011650473,1000000,4.9999999999999996e-06,5.0,0.04453999987803399,0.08895598696544765,0.059303995912894605,7.824540213411674,7.78000021353364,87.45898369443704,1.9907249999999999,2.2132349999999996,0.22250999999999999,1.9350949999999998,2.268865,66755,59.25999999999999,5.90617617279784,2.996030259905625,100000.00000000001,5.99206051981125,8.988090779716876,11.9841210396225,29.960302599056252,ok,-1.021405182655144e-17,0.05175121643142951
